[2020-04-28 18:27:10,738] {alignmentservice.py:242} MainThread INFO in alignmentservice: Consumer running.......
[2020-04-28 18:28:37,761] {alignmentservice.py:243} MainThread INFO in alignmentservice: Consumer running.......
[2020-04-28 18:35:00,032] {alignmentservice.py:252} MainThread INFO in alignmentservice: Consumer running.......
[2020-04-28 18:45:51,961] {consumer.py:252} MainThread INFO in consumer: Consumer running.......
[2020-04-28 19:14:59,527] {consumer.py:33} MainThread INFO in consumer: Consumer running.......
[2020-05-08 13:42:25,392] {consumer.py:35} MainThread INFO in consumer: Consumer running.......
[2020-05-08 13:52:36,359] {consumer.py:39} MainThread INFO in consumer: Consuming from the Kafka Queue......
[2020-05-08 13:54:41,090] {alignmentservice.py:50} MainThread INFO in alignmentservice: Alignment process starts for job: 15889250265440123
[2020-05-08 13:54:41,101] {consumer.py:44} MainThread ERROR in consumer: Exception while consuming: can only concatenate str (not "dict") to str
[2020-05-08 13:54:41,121] {consumer.py:45} MainThread ERROR in consumer: None
[2020-06-18 12:33:40,850] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5002/ (Press CTRL+C to quit)
[2020-06-24 14:55:10,979] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2020-06-24 14:57:09,083] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2020-06-24 14:57:49,924] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2020-06-24 14:59:01,687] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2020-06-24 15:00:13,954] {app.py:29} MainThread INFO in app: Starting
[2020-06-24 15:00:13,955] {alignmentconsumer.py:40} AlignerKafka-Thread INFO in alignmentconsumer: Consumer
[2020-06-24 15:00:14,807] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2020-06-24 15:02:29,647] {app.py:29} MainThread INFO in app: Starting
[2020-06-24 15:02:30,511] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2020-06-24 15:03:25,030] {app.py:29} MainThread INFO in app: Starting
[2020-06-24 15:03:25,035] {alignmentconsumer.py:42} AlignerKafka-Thread INFO in alignmentconsumer: Consumer running.......
[2020-06-24 15:03:25,883] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2020-06-24 15:04:38,075] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2020-06-24 15:04:55,103] {alignmentconsumer.py:42} AlignerKafka-Thread INFO in alignmentconsumer: Consumer running.......
[2020-06-24 15:05:33,022] {_internal.py:113} MainThread INFO in _internal:  * Running on http://0.0.0.0:5003/ (Press CTRL+C to quit)
[2020-06-24 15:05:56,558] {alignmentconsumer.py:42} AlignerKafka-Thread INFO in alignmentconsumer: Consumer running.......
